Bugey-3,reactordetails.aspx?id=27570&rid=D3FD54CB-1CC8-4D64-9672-BCBFF9BA1583, PWR, Operating,45.7998,5.26725
Bugey-4,reactordetails.aspx?id=27570&rid=82071B41-0399-4A65-B7A6-A3E5A3B90B61, PWR, Operating,45.7998,5.26825
Bugey-5,reactordetails.aspx?id=27570&rid=AB7904E6-7BBA-412F-9922-8C236444BD87, PWR, Operating,28.8305,50.8872
Bushehr-1,reactordetails.aspx?id=27570&rid=B3C66B67-80C5-47C2-9448-00C8469BDF18, PWR/VVER, Under construction,28.8287,50.8895
Bushehr-2,reactordetails.aspx?id=27570&rid=5864F95E-0B5D-4E07-98F9-5AE58DB81552, PWR/VVER, Planned,42.0744,-89.2766
Byron-1,reactordetails.aspx?id=27570&rid=BF54C818-D732-484C-86EC-58B0C01DFB52, PWR, Operating,42.0744,-89.2756
Byron-2,reactordetails.aspx?id=27570&rid=E4B3DAFA-BB48-4E7D-B6C9-C904B17DC33A, PWR, Operating,54.4197,-3.4905
Calder Hall-1,reactordetails.aspx?id=27570&rid=0B0D0790-30A5-4E3A-A824-1D02D6BB4CA9, GCR (Magnox), Shut down,54.4197,-3.4895
Calder Hall-2,reactordetails.aspx?id=27570&rid=180527C9-4AAC-4B47-BE8D-F9F5A3EE0369, GCR (Magnox), Shut down,54.4197,-3.4885
Calder Hall-3,reactordetails.aspx?id=27570&rid=DE04324F-A4CF-487D-BADB-50C4CA2A4796, GCR (Magnox), Shut down,54.4197,-3.4875
Calder Hall-4,reactordetails.aspx?id=27570&rid=6B73EC0D-04E4-4C44-A6F2-FA4A7512E9FC, GCR (Magnox), Shut down,38.763,-91.7814
Callaway-1,reactordetails.aspx?id=27570&rid=835F4A0B-2012-4F56-9581-34616651B52A, PWR, Operating,38.4345,-76.4389
Calvert Cliffs-1,reactordetails.aspx?id=27570&rid=0E6815AA-4CE1-4252-B752-CF920C912A78, PWR, Operating,38.434,-76.4389
Calvert Cliffs-2,reactordetails.aspx?id=27570&rid=61AD6EBF-8577-4D14-9928-96CB98117651, PWR, Operating,45.0716,9.87193
Caorso,reactordetails.aspx?id=27570&rid=45B05E9F-0337-45B0-8487-D5B693D9CABA, BWR, Shut down,34.2627,-81.33
Carolinas CVTR,reactordetails.aspx?id=27570&rid=0DC8A5D6-D5AC-433B-8EB1-86EF8EA053FD, PHWR, Shut down,35.053,-81.071
Catawba-1,reactordetails.aspx?id=27570&rid=7B997B71-4774-4618-9800-B667E4E86609, PWR, Operating,35.053,-81.07
Catawba-2,reactordetails.aspx?id=27570&rid=809B9039-6B60-4C80-AC54-4FE999AEB82C, PWR, Operating,49.4164,6.21737
Cattenom-1,reactordetails.aspx?id=27570&rid=3B720693-4FFB-4A71-B5EB-44297B9890B4, PWR, Operating,49.415877,6.217372
Cattenom-2,reactordetails.aspx?id=27570&rid=52FFFC3E-4074-4CC8-AE8C-ECC5281E001E, PWR, Operating,49.4154,6.21737
Cattenom-3,reactordetails.aspx?id=27570&rid=376135DD-D962-401D-80BF-339E12A0F729, PWR, Operating,49.4149,6.21737
Cattenom-4,reactordetails.aspx?id=27570&rid=64B799E9-547D-478B-83C0-9E9B0AFF55B4, PWR, Operating,44.3216,28.0605
Cernavoda-1,reactordetails.aspx?id=27570&rid=555408EB-20C9-4DF7-9671-08D2339213D1, PHWR/CANDU, Operating,44.3216,28.0615
Cernavoda-2,reactordetails.aspx?id=27570&rid=D02ED2A0-35EA-4154-BDB3-EE0A79F3F1BD, PHWR, Operating,44.3243,28.0578
Cernavoda-3,reactordetails.aspx?id=27570&rid=D7514031-0C53-4605-87EA-EAAC37D1E67A, PHWR, Planned,44.3243,28.0588
Cernavoda-4,reactordetails.aspx?id=27570&rid=ACFD64DC-C4D7-4F4C-92BA-1D4F96CD0EC3, PHWR, ,44.3243,28.0598
Cernavoda-5,reactordetails.aspx?id=27570&rid=73642594-566C-4BF1-AED1-315DA7AEB7AF, PHWR, Suspended indefinitely/Cancelled,19.4462,108.799
Changjiang 1 (Phase I  Unit 1),reactordetails.aspx?id=27570&rid=5FAB69DB-4CEF-4791-A77E-DE25652731FC, PWR,,19.4358,108.7993
Changjiang 2 (Phase I  Unit 2),reactordetails.aspx?id=27570&rid=BB66E310-8A4D-4A56-9EFA-6824A1564265, PWR, Planned,55.0139,-3.22316
Chapelcross-1,reactordetails.aspx?id=27570&rid=825A9C59-E282-4AFB-BA52-0C057283DB71, GCR (Magnox), Shut down,55.0134,-3.22316
Chapelcross-2,reactordetails.aspx?id=27570&rid=CC566F39-CB8D-47FE-9519-6FA91CA321D1, GCR (Magnox), Shut down,55.0129,-3.22316
Chapelcross-3,reactordetails.aspx?id=27570&rid=EB45357B-D491-4616-BDED-AB5C5A871E30, GCR (Magnox), Shut down,55.0124,-3.22316
Chapelcross-4,reactordetails.aspx?id=27570&rid=E15176F2-DABD-43C8-873D-3BE80BF2EC30, GCR (Magnox), Shut down,32.3919,71.463
Chasma-1 (Chasnupp-1),reactordetails.aspx?id=27570&rid=5BAE3C46-4E9A-42DC-9623-1E716626AC92, PWR, Operating,32.3919,71.464
Chasma-2 (Chasnupp-2),reactordetails.aspx?id=27570&rid=6C028E79-8F97-4068-B477-E7F448CD5867, PWR, Under construction,51.3891,30.1032
Chernobyl-1,reactordetails.aspx?id=27570&rid=F15FFD43-D2E8-4EE5-A98E-1770A23B6A99, LWGR/RBMK, Shut down,51.3886,30.1032
Chernobyl-2,reactordetails.aspx?id=27570&rid=349591A9-F934-4E69-8DAE-8F48D729B2F6, LWGR/RBMK, Shut down,51.3881,30.1032
Chernobyl-3,reactordetails.aspx?id=27570&rid=D3372E3D-5E1B-404B-8171-CFD8611A98A4, LWGR/RBMK, Shut down,51.3876,30.1032
Chernobyl-4,reactordetails.aspx?id=27570&rid=88CAE793-5378-4D6E-9A8F-32AE1742A9CE, LWGR/RBMK, Shut down,35.0349,-81.5113
Cherokee-1,reactordetails.aspx?id=27570&rid=401F951D-387D-46F3-842F-D7736A8D1983, PWR, Suspended indefinitely/Cancelled,35.0344,-81.5113
Cherokee-2,reactordetails.aspx?id=27570&rid=6EE92430-AAF9-42F1-A64D-910A47E00A32, PWR, Suspended indefinitely/Cancelled,25.2924,121.567
Chin Shan-1,reactordetails.aspx?id=27570&rid=370AA103-FBA4-4D48-8826-37B91D9BF8BD, BWR, Operating,25.2924,121.568
Chin Shan-2,reactordetails.aspx?id=27570&rid=F4CDC8C7-C5F5-4CAB-94C5-40A70FCD6D63, BWR, Operating,39.739435,116.03016
Chinese Experimental Fast Reactor (CEFR),reactordetails.aspx?id=27570&rid=C000DB32-802F-4A04-B321-E697D9AC5425, FBR, ,47.2321,0.16741
Chinon-1,reactordetails.aspx?id=27570&rid=21297CDD-AF33-4640-B809-9B5FD40F27BC, GCR, Shut down,47.2319,0.170044
Chinon-2,reactordetails.aspx?id=27570&rid=1D26136C-F84D-44FA-96AB-9687CE30D2E3, GCR, Shut down,47.2315,0.173628
Chinon-3,reactordetails.aspx?id=27570&rid=1EBC3F35-5D0E-4157-A1B8-3D095EB80BCC, GCR, Shut down,47.2298,0.168232
Chinon-B1,reactordetails.aspx?id=27570&rid=E60DB236-08E5-4743-A693-D312630096EC, PWR, Operating,47.2293,0.168249
Chinon-B2,reactordetails.aspx?id=27570&rid=83DF405C-DBA8-4714-A09B-3EF0FFE6B262, PWR, Operating,47.2242,0.170887
Chinon-B3,reactordetails.aspx?id=27570&rid=F8C3E8AF-99C6-4AA0-B811-A2A085E3683C, PWR, Operating,47.2242,0.17147
Chinon-B4,reactordetails.aspx?id=27570&rid=A2055004-B3CD-4FE3-9C99-5756505497B2, PWR, Operating,50.0861,4.792
Chooz-A (Prototype),reactordetails.aspx?id=27570&rid=4A5612A6-EEE9-4D1B-B1CC-1BAB2F9B7D0E, PWR, Shut down,50.0892,4.7907
Chooz-B1,reactordetails.aspx?id=27570&rid=63B76017-BF0D-4A5B-A56A-DC408BA1DBFF, PWR, Operating,50.0885,4.7907
